1. Class: 1, Probability: 99.93%
2. Class: 0, Probability: 69.59%
3. Class: 0, Probability: 94.75%
4. Class: 0, Probability: 99.72%
5. Class: 0, Probability: 99.61%
6. Class: 1, Probability: 87.34%
7. Class: 0, Probability: 97.61%
8. Class: 1, Probability: 95.83%
9. Class: 1, Probability: 97.67%
10. Class: 0, Probability: 99.71%
11. Class: 1, Probability: 99.63%
12. Class: 1, Probability: 99.95%
13. Class: 1, Probability: 95.82%
14. Class: 0, Probability: 98.19%
15. Class: 0, Probability: 97.85%
16. Class: 0, Probability: 98.90%
17. Class: 0, Probability: 95.65%
18. Class: 1, Probability: 97.72%
19. Class: 0, Probability: 99.65%
20. Class: 1, Probability: 99.84%
21. Class: 0, Probability: 51.64%
22. Class: 0, Probability: 99.66%
23. Class: 0, Probability: 99.98%
24. Class: 0, Probability: 98.82%
25. Class: 0, Probability: 97.32%
26. Class: 0, Probability: 85.78%
27. Class: 1, Probability: 99.54%
28. Class: 0, Probability: 99.45%
29. Class: 1, Probability: 89.59%
30. Class: 0, Probability: 99.02%
31. Class: 0, Probability: 98.08%
32. Class: 1, Probability: 99.62%
33. Class: 1, Probability: 99.67%
34. Class: 0, Probability: 98.64%
35. Class: 1, Probability: 98.57%
36. Class: 0, Probability: 96.60%
37. Class: 0, Probability: 67.51%
38. Class: 1, Probability: 58.28%
39. Class: 1, Probability: 57.44%
40. Class: 0, Probability: 60.57%
41. Class: 0, Probability: 57.71%
42. Class: 1, Probability: 59.08%
43. Class: 0, Probability: 74.07%
44. Class: 0, Probability: 88.47%
45. Class: 1, Probability: 65.07%
46. Class: 1, Probability: 58.60%
47. Class: 0, Probability: 96.75%
48. Class: 0, Probability: 93.03%
49. Class: 0, Probability: 79.37%
50. Class: 0, Probability: 94.89%
